Entity, GPD per capita(USD),Life satisfaction
Afghanistan,20.682.659,4.655
Albania,11.878.454,6.355
Algeria,11696.95,3.866
Angola,8.036.411,6.65
Argentina,18.594.545,4.36
Armenia,23.933.887,7.313
Australia,11.321.333,7.119
Austria,37.715.926,5.291
Azerbaijan,47.569.293,6.218
Bahrain,52873.86,4.643
Bangladesh,14.852.611,5.802
Belarus,36.023.594,6.929
Belgium,48.110.734,5.956
Belize,37.001.108,3.484
Benin,15.382.766,5.196
Bhutan,18.362.746,5.822
Bolivia,49456.4,5.163
Bosnia and Herzegovina,73.586.187,3.974
Botswana,29.459.702,6.952
Brazil,77842.75,4.217
Bulgaria,10.086.073,3.739
Burkina Faso,7.984.412,2.905
Burundi,12.630.667,3.907
Cambodia,14.895.905,4.513
Cameroon,15.064.176,7.404
Canada,63.147.484,3.763
Chad,12.015.927,6.705
Chile,19.988.225,5.245
China,1.925.332,6.481
Colombia,8.252.057,3.956
Comoros,35.413.767,4.236
Congo,35.704.246,7.087
Costa Rica,47522.14,3.916
Cote d'Ivoire,6.266.882,5.488
Croatia,67241.28,5.546
Cyprus,8.527.492,6.596
Czechia,18.571.079,4.272
Democratic Republic of Congo,24.440.416,7.526
Denmark,12.612.352,5.155
Dominican Republic,14.095.748,5.976
